FlightDate,Atrasos,Cancelamentos,Cold,Fog,Rain,Snow,Storm
2019-06-24,232.0,487,-20.0,601,-42.0,0,16
2019-06-25,379.0,290,51.0,524,-1106.0,0,12
2019-06-26,-1941.0,165,-17.0,428,-969.0,0,5
2019-06-27,436.0,252,2.0,638,412.0,0,18
2019-06-28,156.0,325,-5.0,753,-144.0,0,19
2019-06-29,-73.0,707,-14.0,766,74.0,0,17
2019-06-30,534.0,588,18.0,565,368.0,0,13
2019-07-01,-1669.0,297,-20.0,491,-225.0,0,13
2019-07-02,-348.0,386,15.0,472,111.0,0,13
2019-07-03,221.0,193,11.0,722,355.0,0,11
2019-07-04,-1340.0,298,-11.0,784,-86.0,0,8
2019-07-05,1085.0,181,-3.0,1336,108.0,0,7
2019-07-06,1212.0,1028,14.0,939,192.0,0,10
2019-07-07,1447.0,517,-23.0,873,-592.0,0,13
2019-07-08,331.0,237,0.0,669,148.0,0,13
2019-07-09,-2703.0,127,-4.0,616,31.0,0,16
2019-07-10,-280.0,472,2.0,661,-84.0,0,7
2019-07-11,2227.0,1574,2.0,597,-14.0,0,5
2019-07-12,-333.0,400,-20.0,604,250.0,0,10
2019-07-13,-2339.0,498,23.0,603,-440.0,0,17
2019-07-14,711.0,275,-1.0,499,222.0,0,17
2019-07-15,520.0,253,-20.0,446,515.0,0,16
2019-07-16,-14.0,161,14.0,605,-145.0,0,5
2019-07-17,1404.0,1031,6.0,624,370.0,0,10
2019-07-18,1919.0,1499,29.0,790,-295.0,1,8
2019-07-19,-1351.0,475,-36.0,575,-1173.0,0,5
2019-07-20,-751.0,349,5.0,528,591.0,0,46
2019-07-21,926.0,466,5.0,529,-143.0,0,10
2019-07-22,-1298.0,1126,-1.0,429,1300.0,0,20
2019-07-23,396.0,476,-10.0,367,742.0,0,8
2019-07-24,-1295.0,119,-10.0,634,-2233.0,0,9
2019-07-25,-1045.0,122,25.0,544,-373.0,0,2
2019-07-26,94.0,115,-18.0,524,4.0,0,0
2019-07-27,-818.0,76,1.0,538,-54.0,0,6
2019-07-28,682.0,87,-27.0,638,419.0,0,2
2019-07-29,1687.0,471,15.0,564,503.0,0,9
2019-07-30,131.0,357,-5.0,738,-608.0,0,5
2019-07-31,49.0,1142,2.0,836,100.0,0,9
2019-08-01,1864.0,578,-14.0,841,173.0,0,7
2019-08-02,-575.0,536,1.0,680,618.0,0,6
2019-08-03,-2682.0,146,1.0,990,-365.0,0,3
2019-08-04,1214.0,132,-15.0,1132,-209.0,1,7
2019-08-05,-1016.0,103,34.0,1079,239.0,0,9
2019-08-06,994.0,431,-7.0,908,-90.0,0,4
2019-08-07,685.0,1748,6.0,854,287.0,0,14
2019-08-08,828.0,722,16.0,692,281.0,0,9
2019-08-09,-1774.0,193,-16.0,633,-811.0,0,7
2019-08-10,-1737.0,79,-31.0,628,301.0,0,8
2019-08-11,958.0,129,14.0,805,36.0,0,13
2019-08-12,-203.0,311,2.0,912,-29.0,0,19
2019-08-13,1332.0,351,24.0,913,698.0,0,9
2019-08-14,550.0,273,-9.0,1009,-503.0,0,15
2019-08-15,-217.0,400,1.0,1100,-245.0,0,13
2019-08-16,-115.0,189,-14.0,1096,333.0,1,6
2019-08-17,-701.0,177,10.0,917,-15.0,0,15
2019-08-18,1329.0,1366,27.0,840,302.0,0,41
2019-08-19,-232.0,642,-4.0,795,-949.0,1,4
2019-08-20,255.0,1069,8.0,920,253.0,0,11
2019-08-21,-819.0,679,-11.0,909,415.0,0,9
2019-08-22,232.0,623,-4.0,790,214.0,1,11
2019-08-23,-322.0,292,-5.0,628,159.0,0,10
2019-08-24,-2965.0,66,-27.0,606,-449.0,0,8
2019-08-25,891.0,64,-1.0,510,25.0,0,5
2019-08-26,958.0,278,20.0,566,1778.0,0,15
2019-08-27,-200.0,311,15.0,680,-606.0,0,10
2019-08-28,-465.0,130,-20.0,802,-1396.0,0,5
2019-08-29,94.0,73,7.0,567,-581.0,0,4
2019-08-30,193.0,621,-13.0,468,185.0,0,29
2019-08-31,-1523.0,191,-6.0,530,-189.0,0,0
2019-09-01,-311.0,230,1.0,688,298.0,0,3
2019-09-02,1444.0,1183,-14.0,1102,345.0,0,17
2019-09-03,49.0,1569,62.0,1237,-88.0,1,9
2019-09-04,-695.0,971,2.0,637,-659.0,0,11
2019-09-05,-461.0,557,-17.0,760,388.0,0,22
2019-09-06,836.0,380,27.0,641,441.0,0,45
2019-09-07,-1328.0,200,-34.0,842,-513.0,0,3
2019-09-08,1457.0,231,-20.0,713,708.0,2,9
2019-09-09,203.0,206,16.0,1083,381.0,2,11
2019-09-10,-32.0,188,33.0,1104,-534.0,0,10
2019-09-11,279.0,194,-39.0,1085,526.0,9,14
2019-09-12,1977.0,426,10.0,1010,708.0,15,11
2019-09-13,-794.0,191,-16.0,891,-541.0,6,2
2019-09-14,-2979.0,46,-19.0,492,-1380.0,2,4
2019-09-15,1707.0,167,-4.0,1082,419.0,2,0
2019-09-16,-472.0,115,17.0,1229,-669.0,1,11
2019-09-17,80.0,109,-10.0,981,185.0,0,23
2019-09-18,395.0,145,7.0,640,508.0,0,6
2019-09-19,586.0,1171,6.0,815,-231.0,0,0
2019-09-20,-45.0,437,5.0,850,148.0,1,6
2019-09-21,-2180.0,55,-11.0,730,465.0,0,7
2019-09-22,765.0,48,10.0,634,791.0,4,6
2019-09-23,647.0,260,-7.0,800,-981.0,0,3
2019-09-24,-1140.0,97,19.0,761,-513.0,1,5
2019-09-25,-233.0,63,1.0,581,-384.0,0,5
2019-09-26,1528.0,51,-3.0,697,446.0,2,13
2019-09-27,324.0,1253,-28.0,926,365.0,4,0
2019-09-28,-1064.0,245,-4.0,634,886.0,96,25
2019-09-29,614.0,141,-12.0,1330,422.0,308,44
2019-09-30,-14.0,116,21.0,1253,-912.0,76,9
2019-10-01,-1000.0,69,-8.0,963,354.0,109,5
2019-10-02,306.0,90,19.0,1160,575.0,168,4
2019-10-03,694.0,69,-9.0,1246,-280.0,85,2
2019-10-04,152.0,69,4.0,775,-1090.0,22,16
2019-10-05,-1572.0,47,-4.0,794,1031.0,61,20
2019-10-06,1267.0,161,-8.0,726,-648.0,6,1
